                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.69897,                   0.55,                      1,                 1.1851,                 0.0829,                 0.0019,                 0.0019
                      2,                0.29373,                   0.55,                      1,                 1.1548,               0.064861,              0.0038614,              0.0038614
                      3,                0.67655,                    0.4,                      1,                 1.3032,               0.046783,              0.0057832,              0.0057832
                      4,                0.59883,                    0.7,                      1,                 1.0261,               0.028665,              0.0076654,              0.0076654
                      5,                0.72684,                   0.35,                      1,                  1.374,               0.010508,               0.009508,               0.009508
                      6,                0.56714,                   0.45,                      1,                 1.2515,               0.009505,               0.009505,               0.009505
                      7,                0.58176,                   0.25,                      1,                 1.5244,               0.009406,               0.009406,               0.009406
                      8,                0.75476,                   0.45,                      1,                 1.2808,               0.009307,               0.009307,               0.009307
                      9,                0.73543,                    0.5,                      1,                 1.2061,               0.009208,               0.009208,               0.009208
                     10,                0.54204,                    0.6,                      1,                 1.1582,               0.009109,               0.009109,               0.009109
                     11,                0.56008,                   0.65,                      1,                 1.1558,                0.00901,                0.00901,                0.00901
                     12,                0.47491,                   0.55,                      1,                 1.1152,               0.008911,               0.008911,               0.008911
                     13,                0.86979,                   0.65,                      1,                 1.0669,               0.008812,               0.008812,               0.008812
                     14,                 0.5636,                    0.6,                      1,                 1.0752,               0.008713,               0.008713,               0.008713
                     15,                0.52114,                   0.45,                      1,                 1.0955,               0.008614,               0.008614,               0.008614
                     16,                 0.5152,                   0.45,                      1,                 1.2861,               0.008515,               0.008515,               0.008515
                     17,                0.41963,                   0.65,                      1,                 1.1182,               0.008416,               0.008416,               0.008416
                     18,                0.39939,                   0.55,                      1,                 1.1582,               0.008317,               0.008317,               0.008317
                     19,                0.39509,                    0.6,                      1,                 1.1167,               0.008218,               0.008218,               0.008218
                     20,                0.45731,                   0.65,                      1,                 1.0391,               0.008119,               0.008119,               0.008119
                     21,                0.32181,                    0.6,                      1,                 1.1919,                0.00802,                0.00802,                0.00802
                     22,                0.29783,                    0.6,                      1,                   1.21,               0.007921,               0.007921,               0.007921
                     23,                0.30293,                   0.75,                      1,                0.98389,               0.007822,               0.007822,               0.007822
                     24,                0.38204,                   0.65,                      1,                  1.085,               0.007723,               0.007723,               0.007723
                     25,                0.28403,                   0.65,                      1,                0.98975,               0.007624,               0.007624,               0.007624
