epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.4107,1.24391,0.52,1,1.7284,0.0784,0.0024,0.0024
2,7.18264,0.6419,0.4,1,2.09978,0.0558515,0.00485149,0.00485149
3,9.76538,0.78945,0.48,1,4.01132,0.0332535,0.00725348,0.00725348
4,12.4455,0.89112,0.44,1,3.80827,0.010606,0.00960597,0.00960597
5,15.1115,1.04142,0.4,1,4.18901,0.009604,0.009604,0.009604
6,17.7415,0.74218,0.48,1,2.13268,0.009505,0.009505,0.009505
7,20.3957,0.87169,0.4,1,3.64351,0.009406,0.009406,0.009406
8,22.9947,1.01812,0.4,1,3.46148,0.009307,0.009307,0.009307
9,25.568,0.83825,0.6,1,3.84656,0.009208,0.009208,0.009208
10,28.2384,0.75058,0.56,1,2.17424,0.009109,0.009109,0.009109
11,30.8781,0.92337,0.52,1,2.65927,0.00901,0.00901,0.00901
12,33.4404,0.68605,0.36,1,4.78734,0.008911,0.008911,0.008911
13,36.0761,0.74072,0.44,1,2.44648,0.008812,0.008812,0.008812
14,38.7444,0.6134,0.24,1,6.75692,0.008713,0.008713,0.008713
15,41.4209,0.50529,0.32,1,4.25732,0.008614,0.008614,0.008614
16,44.0613,0.52224,0.4,1,5.64318,0.008515,0.008515,0.008515
17,46.7006,0.58014,0.52,1,1.74849,0.008416,0.008416,0.008416
18,49.4633,0.4617,0.6,1,2.20646,0.008317,0.008317,0.008317
19,52.1075,0.57102,0.32,1,3.40282,0.008218,0.008218,0.008218
20,54.7334,0.64685,0.48,1,1.97488,0.008119,0.008119,0.008119
21,57.3364,0.49651,0.32,1,2.89846,0.00802,0.00802,0.00802
22,59.9508,0.55159,0.48,1,1.82014,0.007921,0.007921,0.007921
23,62.5507,0.50304,0.4,1,2.52013,0.007822,0.007822,0.007822
24,65.0915,0.48099,0.32,1,2.05466,0.007723,0.007723,0.007723
25,67.7273,0.50805,0.44,1,1.89204,0.007624,0.007624,0.007624
26,70.4274,0.47697,0.48,1,2.04184,0.007525,0.007525,0.007525
27,73.0239,0.44919,0.48,1,2.0617,0.007426,0.007426,0.007426
28,75.5746,0.39338,0.52,1,1.86079,0.007327,0.007327,0.007327
29,78.1538,0.47307,0.48,1,2.42538,0.007228,0.007228,0.007228
30,80.758,0.4866,0.48,1,2.45066,0.007129,0.007129,0.007129
31,83.2688,0.46283,0.56,1,2.07843,0.00703,0.00703,0.00703
32,85.8335,0.51616,0.48,1,3.26019,0.006931,0.006931,0.006931
33,88.3781,0.45938,0.52,1,2.63233,0.006832,0.006832,0.006832
34,90.9403,0.47752,0.52,1,2.37195,0.006733,0.006733,0.006733
35,93.5413,0.3681,0.48,1,2.29086,0.006634,0.006634,0.006634
36,96.1236,0.44367,0.44,1,2.5878,0.006535,0.006535,0.006535
37,98.6582,0.32006,0.44,1,1.72668,0.006436,0.006436,0.006436
38,101.208,0.37519,0.6,1,1.51928,0.006337,0.006337,0.006337
39,103.761,0.31392,0.44,1,1.93541,0.006238,0.006238,0.006238
40,106.285,0.30021,0.52,1,2.21742,0.006139,0.006139,0.006139
41,108.825,0.3316,0.52,1,2.01821,0.00604,0.00604,0.00604
42,111.394,0.49266,0.56,1,1.76253,0.005941,0.005941,0.005941
43,113.943,0.36682,0.6,1,2.8231,0.005842,0.005842,0.005842
44,116.494,0.28528,0.48,1,2.62432,0.005743,0.005743,0.005743
45,119.036,0.33232,0.36,1,2.55504,0.005644,0.005644,0.005644
46,121.554,0.27549,0.32,1,2.51646,0.005545,0.005545,0.005545
47,124.101,0.23239,0.36,1,2.66796,0.005446,0.005446,0.005446
48,126.629,0.24666,0.36,1,1.87765,0.005347,0.005347,0.005347
49,129.244,0.23936,0.44,1,2.24376,0.005248,0.005248,0.005248
50,131.894,0.35694,0.52,1,2.06704,0.005149,0.005149,0.005149
51,134.603,0.21818,0.44,1,2.00135,0.00505,0.00505,0.00505
52,137.219,0.23812,0.4,1,1.94614,0.004951,0.004951,0.004951
53,139.872,0.14997,0.44,1,2.29163,0.004852,0.004852,0.004852
54,142.417,0.12365,0.44,1,2.38278,0.004753,0.004753,0.004753
55,144.991,0.16768,0.52,1,2.50455,0.004654,0.004654,0.004654
56,147.56,0.38041,0.48,1,2.9667,0.004555,0.004555,0.004555
57,150.169,0.25608,0.48,1,2.55869,0.004456,0.004456,0.004456
58,152.816,0.26843,0.68,1,1.8524,0.004357,0.004357,0.004357
59,155.43,0.24516,0.48,1,1.99605,0.004258,0.004258,0.004258
60,157.962,0.16082,0.36,1,2.05443,0.004159,0.004159,0.004159
61,160.523,0.23466,0.44,1,2.38221,0.00406,0.00406,0.00406
62,163.107,0.17853,0.52,1,2.24722,0.003961,0.003961,0.003961
63,165.621,0.12644,0.52,1,2.48523,0.003862,0.003862,0.003862
64,168.158,0.20207,0.52,1,2.44365,0.003763,0.003763,0.003763
65,170.694,0.24112,0.48,1,2.55359,0.003664,0.003664,0.003664
66,173.275,0.14106,0.48,1,2.54946,0.003565,0.003565,0.003565
67,175.845,0.16559,0.48,1,2.63968,0.003466,0.003466,0.003466
68,178.381,0.14703,0.48,1,2.84932,0.003367,0.003367,0.003367
69,181.023,0.11387,0.52,1,2.89752,0.003268,0.003268,0.003268
70,183.757,0.2247,0.48,1,2.27269,0.003169,0.003169,0.003169
71,186.375,0.19085,0.6,1,2.43741,0.00307,0.00307,0.00307
72,188.968,0.15608,0.6,1,2.35875,0.002971,0.002971,0.002971
73,191.637,0.17,0.6,1,1.91939,0.002872,0.002872,0.002872
74,194.267,0.10156,0.6,1,1.8811,0.002773,0.002773,0.002773
75,196.91,0.08894,0.68,1,2.32196,0.002674,0.002674,0.002674
76,199.463,0.09787,0.68,1,2.09228,0.002575,0.002575,0.002575
77,202.067,0.15156,0.6,1,2.06155,0.002476,0.002476,0.002476
78,204.702,0.13119,0.48,1,2.55006,0.002377,0.002377,0.002377
79,207.353,0.10841,0.4,1,2.97283,0.002278,0.002278,0.002278
80,210,0.10098,0.44,1,2.61466,0.002179,0.002179,0.002179
81,212.615,0.18659,0.6,1,2.26803,0.00208,0.00208,0.00208
82,215.194,0.12968,0.6,1,2.52908,0.001981,0.001981,0.001981
83,217.763,0.09729,0.56,1,2.15706,0.001882,0.001882,0.001882
84,220.353,0.08902,0.56,1,2.17009,0.001783,0.001783,0.001783
85,223.014,0.10749,0.56,1,1.94269,0.001684,0.001684,0.001684
86,225.645,0.14795,0.56,1,2.09555,0.001585,0.001585,0.001585
87,228.301,0.06715,0.6,1,2.35493,0.001486,0.001486,0.001486
88,230.973,0.10812,0.64,1,2.16857,0.001387,0.001387,0.001387
89,233.651,0.07657,0.64,1,1.84757,0.001288,0.001288,0.001288
90,236.276,0.08324,0.64,1,2.34877,0.001189,0.001189,0.001189
91,238.987,0.08839,0.64,1,2.32296,0.00109,0.00109,0.00109
92,241.679,0.0581,0.64,1,2.53109,0.000991,0.000991,0.000991
93,244.334,0.08297,0.64,1,2.24116,0.000892,0.000892,0.000892
94,247.081,0.08678,0.64,1,2.28764,0.000793,0.000793,0.000793
95,249.82,0.06161,0.64,1,2.69707,0.000694,0.000694,0.000694
96,252.46,0.11376,0.64,1,2.27008,0.000595,0.000595,0.000595
97,255.093,0.1233,0.64,1,2.58912,0.000496,0.000496,0.000496
98,257.789,0.08529,0.64,1,1.87051,0.000397,0.000397,0.000397
99,260.414,0.10667,0.64,1,2.58695,0.000298,0.000298,0.000298
100,263.016,0.05401,0.64,1,2.32133,0.000199,0.000199,0.000199
